molecule;code ;sites;traitement;echan;replicat;do
phenols;FBT1;FB;T;1;2;3,193399906
phenols;FBT1;FB;T;1;3;3,334599972
phenols;FBT2;FB;T;2;1;3,516000032
phenols;FBT2;FB;T;2;2;3,088099957
phenols;FBT2;FB;T;2;3;3,3677001
phenols;FBT3;FB;T;3;1;3,462100029
phenols;FBT3;FB;T;3;2;3,531699896
phenols;FBT3;FB;T;3;3;2,986900091
phenols;FBT4;FB;T;4;1;3,171000004
phenols;FBT4;FB;T;4;2;3,196199894
phenols;FBT4;FB;T;4;3;2,399300098
phenols;FBT5;FB;T;5;1;2,549499989
phenols;FBT5;FB;T;5;2;2,745199919
phenols;FBT5;FB;T;5;3;2,434099913
phenols;SEH1;SE;H;1;1;3,431999922
phenols;SEH1;SE;H;1;2;3,482599974
phenols;SEH1;SE;H;1;3;2,832099915
phenols;SEH2;SE;H;2;1;3,391200066
phenols;SEH2;SE;H;2;2;3,315299988
phenols;SEH2;SE;H;2;3;2,926000118
phenols;SEH3;SE;H;3;1;2,385099888
phenols;SEH3;SE;H;3;2;2,505000114
phenols;SEH3;SE;H;3;3;1,710100055
phenols;SEH4;SE;H;4;1;2,425699949
phenols;SEH4;SE;H;4;2;2,514499903
phenols;SEH4;SE;H;4;3;2,444400072
phenols;SEH5;SE;H;5;1;2,697999954
phenols;SEH5;SE;H;5;2;2,71239996
phenols;SEH5;SE;H;5;3;1,907199979
phenols;SET1;SE;T;1;1;1,226799965
phenols;SET1;SE;T;1;2;1,285300016
phenols;SET1;SE;T;1;3;1,264799953
phenols;SET2;SE;T;2;1;2,048899889
phenols;SET2;SE;T;2;2;2,222899914
phenols;SET2;SE;T;2;3;2,116499901
phenols;SET3;SE;T;3;1;2,398400068
phenols;SET3;SE;T;3;2;2,554500103
phenols;SET3;SE;T;3;3;2,526799917
phenols;SET4;SE;T;4;1;1,969499946
phenols;SET4;SE;T;4;2;2,049200058
phenols;SET4;SE;T;4;3;2,076999903
phenols;SET5;SE;T;5;1;2,326800108
phenols;SET5;SE;T;5;2;2,4375
phenols;SET5;SE;T;5;3;2,34100008
phenols;JVH1;JV;H;1;1;2,767999887
phenols;JVH1;JV;H;1;2;2,920599937
phenols;JVH1;JV;H;1;3;2,98390007
phenols;JVH2;JV;H;2;1;2,908799887
phenols;JVH2;JV;H;2;2;2,965399981
phenols;JVH2;JV;H;2;3;2,973200083
phenols;JVH3;JV;H;3;1;2,685600042
phenols;JVH3;JV;H;3;2;2,705899954
phenols;JVH3;JV;H;3;3;2,69749999
phenols;JVH4;JV;H;4;1;2,330199957
phenols;JVH4;JV;H;4;2;2,41869998
phenols;JVH4;JV;H;4;3;2,378499985
phenols;JVH5;JV;H;5;1;2,28670001
phenols;JVH5;JV;H;5;2;3,276900053
phenols;JVH5;JV;H;5;3;3,279099941
phenols;JVT1;JV;T;1;1;1,888100028
phenols;JVT1;JV;T;1;2;3,02489996
phenols;JVT1;JV;T;1;3;3,004899979
phenols;JVT2;JV;T;2;1;2,182899952
phenols;JVT2;JV;T;2;2;3,041699886
phenols;JVT2;JV;T;2;3;3,003400087
phenols;JVT3;JV;T;3;1;2,802599907
phenols;JVT3;JV;T;3;2;3,105200052
phenols;JVT3;JV;T;3;3;3,156599998
phenols;JVT4;JV;T;4;1;1,148900032
phenols;JVT4;JV;T;4;2;1,177299976
phenols;JVT4;JV;T;4;3;1,174000025
phenols;JVT5;JV;T;5;1;2,351900101
phenols;JVT5;JV;T;5;2;2,558399916
phenols;JVT5;JV;T;5;3;2,654599905
phenols;3OH1;3O;H;1;1;2,359999895
phenols;3OH1;3O;H;1;2;3,094000101
phenols;3OH1;3O;H;1;3;3,109200001
phenols;3OH2;3O;H;2;1;3,004899979
phenols;3OH2;3O;H;2;2;3,102900028
phenols;3OH2;3O;H;2;3;3,168600082
phenols;3OH3;3O;H;3;1;3,27760005
phenols;3OH3;3O;H;3;2;3,403399944
phenols;3OH3;3O;H;3;3;3,355200052
phenols;3OH4;3O;H;4;1;3,149399996
phenols;3OH4;3O;H;4;2;3,182199955
phenols;3OH4;3O;H;4;3;3,109899998
phenols;3OH5;3O;H;5;1;3,639400005
phenols;3OH5;3O;H;5;2;3,652199984
phenols;3OH5;3O;H;5;3;3,396399975
phenols;3OT1;3O;T;1;1;2,64350009
phenols;3OT1;3O;T;1;2;2,623699903
phenols;3OT1;3O;T;1;3;2,593800068
phenols;3OT2;3O;T;2;1;3,860899925
phenols;3OT2;3O;T;2;2;3,993700027
phenols;3OT2;3O;T;2;3;3,890399933
phenols;3OT3;3O;T;3;1;3,108299971
phenols;3OT3;3O;T;3;2;3,20630002
phenols;3OT3;3O;T;3;3;3,453500032
phenols;3OT4;3O;T;4;1;NA
phenols;3OT4;3O;T;4;2;3,951800108
phenols;3OT4;3O;T;4;3;3,883899927
phenols;3OT5;3O;T;5;1;3,690900087
phenols;3OT5;3O;T;5;2;3,676100016
phenols;3OT5;3O;T;5;3;3,451600075
phenols;FUT1;FU;T;1;1;3,77489996
phenols;FUT1;FU;T;1;2;3,75880003
phenols;FUT1;FU;T;1;3;2,652100086
phenols;FUT2;FU;T;2;1;3,032500029
phenols;FUT2;FU;T;2;2;3,048000097
phenols;FUT2;FU;T;2;3;2,334100008
phenols;FUT3;FU;T;3;1;3,706899881
phenols;FUT3;FU;T;3;2;2,545900106
phenols;FUT3;FU;T;3;3;2,89289999
phenols;FUT4;FU;T;4;1;3,245300055
phenols;FUT4;FU;T;4;2;3,166800022
phenols;FUT4;FU;T;4;3;2,068599939
phenols;FUT5;FU;T;5;1;3,44020009
phenols;FUT5;FU;T;5;2;3,438999891
phenols;FUT5;FU;T;5;3;1,927600026
phenols;FUT6;FU;T;6;1;3,65809989
phenols;FUT6;FU;T;6;2;3,512300014
phenols;FUT6;FU;T;6;3;1,979900002
phenols;FUH1;FU;H;1;1;2,846199989
phenols;FUH1;FU;H;1;2;2,036900043
phenols;FUH1;FU;H;1;3;2,086299896
phenols;FUH2;FU;H;2;1;3,046999931
phenols;FUH2;FU;H;2;2;2,056299925
phenols;FUH2;FU;H;2;3;2,257699966
phenols;FUH3;FU;H;3;1;1,802000046
phenols;FUH3;FU;H;3;2;1,700199962
phenols;FUH3;FU;H;3;3;1,763599992
phenols;FUH4;FU;H;4;1;1,595800042
phenols;FUH4;FU;H;4;2;2,833800077
phenols;FUH4;FU;H;4;3;3,25180006
phenols;FUH5;FU;H;5;1;1,506700039
phenols;FUH5;FU;H;5;2;1,884299994
phenols;FUH5;FU;H;5;3;1,885499954
phenols;FHT1;FH;T;1;1;2,41779995
phenols;FHT1;FH;T;1;2;2,110899925
phenols;FHT1;FH;T;1;3;3,200599909
phenols;FHT2;FH;T;2;1;2,181900024
phenols;FHT2;FH;T;2;2;3,043299913
phenols;FHT2;FH;T;2;3;3,118400097
phenols;FHT4;FH;T;4;1;2,150399923
phenols;FHT4;FH;T;4;2;2,545599937
phenols;FHT4;FH;T;4;3;3,118799925
phenols;FHH1;FH;H;1;1;2,118200064
phenols;FHH1;FH;H;1;2;2,311700106
phenols;FHH1;FH;H;1;3;2,769200087
phenols;FHH2;FH;H;2;1;2,564100027
phenols;FHH2;FH;H;2;2;2,831199884
phenols;FHH2;FH;H;2;3;2,730600119
phenols;FHH3;FH;H;3;1;2,831500053
phenols;FHH3;FH;H;3;2;2,631099939
phenols;FHH3;FH;H;3;3;3,054899931
phenols;FHH4;FH;H;4;1;2,97149992
phenols;FHH4;FH;H;4;2;2,449899912
phenols;FHH4;FH;H;4;3;3,221299887
phenols;FHH5;FH;H;5;1;2,4454
phenols;FHH5;FH;H;5;2;2,492500067
phenols;FHH5;FH;H;5;3;2,917000055
phenols;XCT1;XC;T;1;1;2,775899887
phenols;XCT1;XC;T;1;2;2,918100119
phenols;XCT1;XC;T;1;3;3,033900023
phenols;XCT2;XC;T;2;1;2,203200102
phenols;XCT2;XC;T;2;2;2,082400084
phenols;XCT2;XC;T;2;3;2,108799934
phenols;XCT3;XC;T;3;1;2,6256001
phenols;XCT3;XC;T;3;2;2,977200031
phenols;XCT3;XC;T;3;3;2,388499975
phenols;XCT4;XC;T;4;1;2,538000107
phenols;XCT4;XC;T;4;2;2,516499996
phenols;XCT4;XC;T;4;3;2,138700008
phenols;XCT5;XC;T;5;1;2,834500074
phenols;XCT5;XC;T;5;2;2,263900042
phenols;XCT5;XC;T;5;3;1,93719995
phenols;XCH1;XC;H;1;1;NA
phenols;XCH1;XC;H;1;2;3,892499924
phenols;XCH1;XC;H;1;3;3,653599977
phenols;XCH2;XC;H;2;1;3,451499939
phenols;XCH2;XC;H;2;2;2,824199915
phenols;XCH2;XC;H;2;3;2,816999912
phenols;XCH3;XC;H;3;1;3,828500032
phenols;XCH3;XC;H;3;2;2,811199903
phenols;XCH3;XC;H;3;3;3,101000071
phenols;blanc;NA;NA;NA;1;0,056400001
phenols;blanc;NA;NA;NA;2;0,055100001
phenols;blanc;NA;NA;NA;3;0,0559
